category_id,category_name
283155,Books
1000,Subjects
22,Religion & Spirituality
12290,Christianity
12360,Clergy
12368,Preaching
12370,Sermons
12472,Earth-Based Religions
12484,Wicca
12486,Witchcraft
48,Home & Garden
5126,Crafts & Hobbies
5144,General
172810,Reference
12155,Commentaries
12159,New Testament
12333,Christian Living
12335,Discipleship
12059,Bibles
764432,Translations
572080,Life Application
12056,Bible & Other Sacred Texts
764430,Bible
572082,New Testament
764438,"Study Guides, History & Reference"
572094,General
12465,Worship & Devotion
12470,Prayerbooks
297488,Business
1,jp-unknown1
2020,Photography
2082,Photo Essays
9,Ages 9-12
4808,Americas
4853,United States
4870,General
4992,Jewish
4993,General
53,Nonfiction
11232,Social Sciences
11288,Sociology
11296,Urban
172282,
493964,Categories
502394,Camera & Photo
733540,Photography Books
733676,Photo Essays
5174,Music
301668,Styles
34,Jazz
63926,General
63929,Modern Postbebop
468040,Specialty Stores
701208,Imports
916554,Jazz
301889,Gay & Lesbian
10703,Nonfiction
10716,General
11003,Crime & Criminals
11005,Criminology
11079,Politics
11083,General
11117,U.S.
6,"Cooking, Food & Wine"
4196,Baking
4197,Bread
17,Literature & Fiction
10204,History & Criticism
10207,Criticism & Theory
10213,General
11086,History & Theory
11233,Anthropology
11235,Cultural
10,"Health, Mind & Body"
4696,Alternative Medicine
4701,General
13996,Medicine
14038,Alternative & Holistic
14046,General
173507,Professional & Technical
173514,Medical
227583,Alternative Medicine
227584,General
504360,Specialty Stores
2,Biographies & Memoirs
4208,Cooking by Ingredient
4211,"Herbs, Spices & Condiments"
4233,General
4317,Special Diet
4318,Diabetic & Sugar-Free
4323,Low Fat
282861,Nutrition
4628,General
4613,Diets & Weight Loss
4632,Special Conditions
4639,Low Carbohydrate
4642,Low Sugar
282849,Low-Fat Diet
4615,Diets
10924671,Low Carb
25,Science Fiction & Fantasy
16190,Fantasy
16203,History & Criticism
16272,Science Fiction
16288,History & Criticism
266023,Indie Music
171246,Jazz
520200,General
2159,Drama
2160,United States
521000,Performing Arts
2154,Theater
2218,General
70021,"Authors, A-Z"
70023,( B )
70116,"Bogosian, Eric"
5011,Military
5018,Naval
5031,World War II
465308,General
465318,Naval
3,Baby-3
2675,Management & Leadership
2683,Management
5,Computers & Internet
549652,Hardware
3723,Microprocessors & System Design
3731,General
13643,Engineering
13756,General
13809,Telecommunications
13813,General
13759,"Industrial, Manufacturing & Operational Systems"
226701,Engineering Economics
657762,General
265523,
285080,Amazon.com Stores
764512,Home & Office
767740,Business & Investing Books
767992,Management & Leadership
768000,Management
4,Children's Books
2966,Literature
3013,"Science Fiction, Fantasy, Mystery & Horror"
3014,Comics & Graphic Novels
4366,Comics & Graphic Novels
4396,Publishers
4400,Marvel
28,Teens
17466,Science Fiction & Fantasy
17468,Fantasy
4390,Graphic Novels
3825121,Superheroes
225827,Specialties
14403,Radiology
14407,General
265542,Medicine
227203,Internal Medicine
227708,Radiology
227709,General
139452,
130,DVD
404276,Genres
163379,Drama
163390,General
163431,Science Fiction & Fantasy
163440,Fantasy
163442,General
292650,Classic Sci-Fi
292662,Monsters & Mutants
292669,By Theme
292667,Time Travel
404278,Actors & Actresses
411316,( B )
413160,"Bissell, Whit"
416120,( C )
416132,"Cabot, Sebastian"
422476,( F )
423942,"Frees, Paul"
426368,( H )
427584,"Helmore, Tom"
432148,( L )
433832,"Lloyd, Doris"
434574,( M )
437458,"Mimieux, Yvette"
448792,( T )
449112,"Taylor, Rod"
453438,( Y )
453620,"Young, Alan"
403502,Directors
460606,( P )
460622,"Pal, George"
163313,Art House & International
502916,By Theme
502980,Costume Adventures
524228,Classics
408328,Special Features
409298,Today's Deals in DVD
15,Deals Under $15
579510,Titles
579550,( T )
284926,By Country
579580,United Kingdom
579588,General
498862,Specialty Stores
468374,Studio Specials
515794,Warner Home Video
600318,Drama
600330,All Titles
600334,Classics
517808,Amazon.com Outlet
526028,Categories
734006,DVD Outlet
735728,Futuristic
598170,Vocal Jazz
63934,Vocal Jazz General
265640,Broadway & Vocalists
513060,Traditional Vocal Pop
520230,Vocal Jazz
10125,General
10129,Contemporary
18,Mystery & Thrillers
10457,Mystery
10466,General
605116,General
504358,Formats
44,Books on Tape
2303,Mystery & Thrillers
2304,Mystery
2312,Radio Shows
86,Entertainment
4564,Radio
4566,General Broadcasting
10461,British Detectives
10477,Sherlock Holmes
69300,"Authors, A-Z"
69304,( D )
69407,"Doyle, Arthur Conan"
284551,General
287120,"Authors, A-Z"
287124,( D )
287265,"Doyle, Arthur Conan"
585596,"Authors, A-Z"
585604,( D )
585790,"Doyle, Sir Arthur Conan"
658010,General
10753,Government
10763,Elections
11325,Women's Studies
11336,History
2977,"Fairy Tales, Folk Tales & Myths"
3002,Stories
170061,Picture Books
170062,General
10127,Classics
11298,Special Groups
11308,Lesbian Studies
